Vegan,Ingredients,Preparation,Meat
Quinoa Pumpkin Chili,"
Ingredients

1 packet of quinoa
2 cups of carrots (cut into ¼ inch pieces)
4 onions (diced)
8 cloves of garlic (chopped finely)
1 ½ tablespoons of chili powder
½ tablespoon of cumin
1 cup of canned 100% pure pumpkin
2 cans of your favourite beans (pinto, black, kidney), drained
1 ½ – 2 cups of vegetable broth
1 small can of tomato paste
1 can of corn
1-2 spring onions (chopped; optional garnish)
Vegan sour cream

","
Method

First, place a tablespoon of oil into a large pot and a sprinkle of salt; this will prevent sticking. Then, toss in the onion and garlic and cook on medium heat until the onions have softened (approximately 8-10 minutes). Whilst the onions and garlic are softening, cook the quinoa as per the instructions on the packet and set aside for later.
Once the onions have softened and the garlic is fragrant, cover them with the chili powder and cumin and stir in and continue cooking for 2-3 minutes until all of the moisture in the pot has evaporated (if you prefer adding more cumin/chili powder you can do so to your own taste). At this point stir in the tomato paste, broth and carrots, and simmer for 5-6 minutes to amalgamate the flavors.
Once the mixture has been brought to a simmer, stir in the pumpkin, then the beans and bring the chili to a boil. Once at a boil, reduce the heat and stir the beans until covered and cook them until cooked through (10-15 minutes). Once cooked, add the corn and quinoa to the chili last minute to heat through.
 Serve immediately with a small dollop of your favorite vegan sour cream and a few chopped pieces of spring onion.

By Allison Bailey
",Chili
THE ULTIMATE TEMPEH CHILI,"


Ingredients



Scale
1x2x3x 




1 (8 oz.) package tempeh (I used this three grain tempeh), crumbled
1 large onion, chopped
3 large cloves garlic, minced
2 tablespoons olive oil or 1/4 cup water, for sauteing
1 can (15 oz.) red kidney beans, drained and rinsed
1 can (15 oz.) pinto beans, drained and rinsed
1 can (15 oz.) black beans, drained and rinsed
1 can (28 oz.) diced fire roasted tomatoes and juices or 3 cups fresh diced tomatoes
1 can (14oz.) sweet corn, drained, optional
1 can (4 oz.) diced mild green chilies or 1 green bell pepper, cored, seeded and diced
2 tablespoons chili powder
1 teaspoon cumin
1/2 – 1 teaspoon garlic powder, optional
1/2 teaspoon chipotle powder, optional
salt & pepper to taste
1 bottle (8oz.) dark beer (Negra Modelo 1 bottle = 1 1/2 cups) plus 1/2 cup additional water or 2 cups water

Optional garnish:

sliced scallions
Vegan Cashew Sour Cream


","

Instructions


Stovetop: In a large dutch oven or stock pot, heat your oil/water over medium heat. Add onions, garlic, spices and tempeh and cook for 5 minutes stirring frequently. Add beans, tomatoes, green chili and dark beer/water, bring to a boil, reduce heat to low, partially cover and simmer for 45 minutes to 1 hour. Chili will thicken upon cooling.
Slow Cooker: Add the ingredients to the bowl of your slow cooker, ending with the liquids. Cook on LOW for 6 – 8 hours or HIGH  for 3 – 4 hours. Chili will thicken as it cools.
Serve with optional garnish. Also, pairs perfectly with Jalapeno Cornbread Muffins or Sweet Chia Cornbread!
Serves 4 – 6
Store: Leftovers can be stored in the refrigerator for 5 – 6, kept in airtight container. To store longer, store in the freezer with freezer safe containers for 2 – 3 months.
NOTES:
Mix the beans up however you like using all of one type or your favorite combination. If you would rather use only 2 cans of beans, that’s great too! I like adding more ingredients as it makes the chili go further. If using your own cooked beans you’ll need about 4 1/2 cups.
Feel free to use 2 packages tempeh instead of just 1. At times I like the extra dose of protein the tempeh adds and will double the amount making for an extra hearty chili. It’s just so good!
For those who do not care for the taste of tempeh, I recommend making this a day ahead so the flavors really meld into the tempeh masking most of its natural flavor. Or try using the three grain tempeh as its flavor is not as strong.
If you find if you added too much heat from the chipotle, try adding a teaspoon or so of cocoa/cacao powder or organic sugar.
UPDATED: This recipe was updated in Sept. 2019 with new photos and helpful tips. The only changes made to the recipe was adding a can of sweet corn. Since so many who commented on the recipe added it, I thought I would do the same. It’s delicious, but optional!

",Chili
EASY VEGETABLE CHILI (SLOW COOKER OR STOVETOP),"


Ingredients



Units
USM 

Scale
1x2x3x 




1 red onion, diced
2 large carrots (about 1 cup), peeled and diced
2 celery sticks (about 1 cup), diced
1 can (4oz.) diced green chilis or 1 bell pepper (any color), diced
1 can (14 oz.) diced tomatoes, with juices
1 can (14 oz.) sweet corn, drained
8 oz. package tempeh, crumbled or 1 can (14 oz.) pinto beans
1 can (14 oz) kidney beans, drained and rinsed
1 can (14 oz) black beans, drained and rinsed
1 can (6 oz.) tomato paste
2 tablespoons chili powder
1 tablespoon cumin
1 teaspoon coriander
1 teaspoon garlic powder
1/2 teaspoon chipotle powder or cayenne pepper
2 cups water or vegetable broth
1/2 cup dried quinoa + 1 cup water, optional
mineral salt to taste

optional toppings

sliced jalapeno
diced avocado
chopped cilantro
homemade cashew sour cream


","

Instructions


Slow Cooker: Place ingredients, plus 1/2 extra cup of water, into the bottom of a 4 – 6 qt. slow-cooker and give a good stir. Cook on high for 3 – 4 hours, or low for 5 – 7 hours.
Stovetop: Place ingredients in a large dutch oven or pot, give a good stir, bring to a boil, reduce heat to low and simmer for 1 to 1 and 1/2 hours, stirring occasionally.
Instant Pot: To the bowl of the Instant Pot, add all the ingredients and give a good stir. Close and lock the lid, turn the steam valve to SEALED. Manually set the timer, at high pressure, for 11 minutes. Let steam release naturally for 10 minutes. Carefully turn the valve to open to finish.
To serve: Serve with toppings of choice. Pairs great with Vegan Cornbread or Jalapeno Cornbread Muffins!
Serves 4 – 6
Store: Leftovers will keep for up to 5 – 6 days in the refrigerator, covered in a container. To keep longer, freeze your chili using freezer safe containers for up to 2 – 3 months.

",Chili
EASY THREE BEAN CHILI RECIPE (VEGAN),"


Ingredients



Scale
1x2x3x 




1 tablespoon olive oil or 1/4 cup water (for water saute)
1 large onion, diced
3 cloves garlic, minced (or 1 1/2 tsp garlic powder)
2 jalapenos, seeds removed and diced (a few seeds ok for extra heat)
3 tablespoons chili powder
1 teaspoon chipotle powder
1 can (15 oz) black beans, drained and rinsed
1 can (15 oz) kidney beans, drained and rinsed
1 can (15 oz) pinto beans, drained and rinsed
1 can (28oz) diced tomatoes, with juices
1 tablespoon cocoa powder or small piece of dark chocolate (about 1/2 oz.), optional
1 1/2 cups water or vegetable broth, + more if needed
mineral salt & pepper, to taste

To garnish

green onions, sliced
cashew sour cream
lime wedges


","

Instructions


Saute: In large pot heat olive oil over medium heat, saute onion for 7 minutes, or until tender and translucent. Add the garlic, jalapeno, chili and chipotle powder, cook for 1 minute, or until fragrant. 
Simmer: Add the beans, tomatoes, chocolate, and liquids, bring to boil, reduce heat, cover askew, and simmer for 15 – 20 minutes or so, stirring occasionally. Add more water as needed. Taste for flavor, season with salt and pepper, and add anything else you feel it needs.
Serve with the sliced green onions, cashew sour cream and vegan sweet chia cornbread or jalapeno cornbread muffins.
Serves 4
Store: Leftovers can be kept, covered, in the refrigerator for 5 – 6 days. To keep longer, freeze in freezer safe containers for up to 2 – 3 months.

",Chili
Sweet Potato Black Bean Chili,"


Ingredients



Units
USM 

Scale
1x2x3x 




1 tablespoon olive oil or 1/4 cup water (for water saute)
1 medium onion, diced
2 – 3 garlic cloves, minced
1 1/2 tablespoons chili powder
1 tablespoon cumin
1 teaspoon dried oregano
1 teaspoon EACH garlic + onion powder, optional (for good measure)
1 teaspoon pink salt, or to taste
1 large sweet potato (about 1 lb.), diced (with or without skin)
2 cans (15 oz) black beans, drained and rinsed
1 can (15 oz) fire-roasted diced tomatoes (with juices) or 1 1/2 cups diced fresh tomatoes
1 can (6 oz) tomato paste
1 can (4oz) diced green chilies
2 cups water or vegetable broth

To serve (optional)

diced avocado
cilantro
tortilla strips
diced onion and/or jalapeno
a dollop of vegan sour cream


","

Instructions


Saute: In a large pot or dutch oven, heat oil over medium heat. Add onions, cook until soft and edges browned, about 5 – 6 minutes. Add garlic, cook 1 minute more. Add the chili powder, cumin, oregano, garlic & onion powder, cook 1 minute more (or until fragrant).
Simmer: Add the beans, diced tomatoes, tomato paste, sweet potato, green chilies, and vegetable broth, stir until combined. Bring to a boil, reduce heat, cover slightly askew and cook for 30 – 40 minutes, stirring occasionally. Chili is ready when sweet potatoes are tender. Add additional water if chili is too thick for your liking.
Serve with optional garnishes. You may also like to top it with this easy Cilantro Lime Cashew ‘Sour Cream’.
Serves 4 generously
Store: Leftovers can be kept in an airtight container in the refrigerator for up to 5 – 6 days. To keep longer, store in the freezer, in freezer-safe containers, for up to 2 – 3 months.

",Chili
CHILI STUFFED SWEET POTATOES,"


Ingredients



Scale
1x2x3x 




2 – 4 sweet potatoes, 1 per person
3 – 4 cups vegan chili, 1/2 cup per person*

Optional toppings

shredded vegan cheese
sliced scallions
vegan sour cream
hot sauce
chopped cilantro
red pepper flakes
sliced or diced avocado


","

Instructions


Prep: Preheat oven to 400 degrees F. Line a rimmed baking sheet with parchment paper or silpat. See notes for microwave instructions.
Sweet Potato: Scrub the sweet potatoes to remove any dirt. Using a fork poke holes into the top of the sweet potato so it can release steam while cooking. Place on a lined rimmed baking sheet and bake in the oven for 50 minutes to 1 hour. Let cool a few minutes.
Chili: If making a fresh batch, cook the chili while the sweet potatoes are baking. If using leftovers, reheat the chili 5 – 7 minutes or so before baked sweet potatoes are done.
Assemble: Slice the sweet potato lengthwise along the top where the holes were poked. Gently, and slightly, open the sweet potato and fill with your 3/4 – 1 cup of chili.
Serve: Top with optional garnish and enjoy this delicious hearty meal! Pairs great with Vegan Cornbread or Jalapeno Cornbread Muffins!
Serves 2 – 4
Store: Leftovers can be stored in covered containers in the refrigerator for 4 – 5 days. Store the chili and sweet potatoes separately or assembled.
NOTES:
Microwave instructions: Place the sweet potatoes on a microwave-safe dish and microwave for 5 – 10 minutes. Add two minutes for each additional potato, rotating them halfway through. Sweet potatoes are done when a fork spears into them easily.
*Chili suggestions: (these are my favorites for stuffing sweet potatoes)

Easy Vegetable Chili (the chili I used)
The Ultimate Tempeh Chili
Easy Three Bean Chili
Quinoa Chili Verde


",Chili
QUINOA CHILI VERDE,"


Ingredients



Scale
1x2x3x 




1 tablespoon olive oil or 3 tablespoons water
1 large white onion, diced
1 teaspoon garlic powder
1 heaping teaspoon dried oregano
1 teaspoon cumin
1 teaspoon chili powder
1 1b. tomatillos, diced or quartered or 1 can (15 oz) crushed
2 poblano or Anaheim peppers, deseeded and diced
1 cup corn (fresh off the cob, frozen or canned)
1 can (15 oz) cannellini beans or pinto beans, drained and rinsed
1 can (15 oz) kidney beans, drained and rinsed
1 cup dry quinoa
4 cups vegetable broth
salt & pepper, to taste

optional garnish

avocado, diced
bunch cilantro, roughly chopped
cashew sour cream


","

Instructions


Saute: In a large pot or dutch oven, heat oil/water over medium heat and saute onions until softened, about 5 minutes. Add garlic powder, oregano, cumin and chili powder, cook for 1 minute more stirring frequently, or just until spices and herbs become fragrant. 
Simmer: Add tomatillos, poblanos, corn, beans, quinoa and vegetable broth, bring to a boil, cover, reduce heat to low and simmer for 20 – 25 minutes. Remove from heat, uncover and let rest a few minutes before serving.
Serve in individual bowls topped with garnish of choice. Pairs well with cornbread too, either on the side or broken up in your chili!
Serves 4 – 6
Store: Leftovers can be stored, covered, in the refrigerator for up to 4 – 6 days. To keep longer, store in the freezer using freezer safe containers or baggies for up to 2 – 3 months.

",Chili
ONE POT VEGAN CHILI MAC,"


Ingredients



Units
USM 

Scale
1x2x3x 




1 tablespoon olive oil or 1/4 cup water
1 large onion, diced (any color)
4 cloves garlic, minced
1 – 2 peppers (bell or poblano), seeds removed and diced
1 package (8oz.) tempeh, crumbled
1 – 2 tablespoons chili powder
1 teaspoon cumin
1 teaspoon oregano
1 teaspoon paprika (smoked or regular)
1 can (15oz.) red kidney beans, drained and rinsed
1 can (15oz.) sweet corn, drained or 1 1/2 cups fresh or frozen
1 can (28oz) diced tomatoes (fire roasted pref.)
4 cups vegetable broth or water
1 bottle dark beer (Modelo Negra) or 1 1/2 cups water
12 oz. elbow pasta (or other small pasta), about 2 1/2 cups
salt and pepper, to taste

Optional garnish

shredded vegan cheese
sliced green onions
vegan cashew sour cream
fresh chopped cilantro


","

Instructions


Saute: In a large dutch oven or pot, heat the oil/water over medium heat, saute the onion, garlic, peppers and tempeh for 5 minutes. Add the chili powder, cumin, paprika, oregano and salt, cook 1 minute, or until nice and fragrant.
Boil and simmer: Add the tomatoes, pasta, beans, corn, and pour the liquids over top, give a good stir. Bring to a boil, cover askew, reduce heat and simmer at a gentle rolling boil for 10 minutes, or until pasta is tender. Season with salt and pepper. Add a bit of cayenne powder for extra heat if you like.
Serve warm with optional toppings.
Serves 6
Store: Leftovers can be stored in the refrigerator for up to 4 – 5 days in an airtight container. It’s also freezer friendly and can be stored in the freezer for up to 2 – 3 months.

",Chili
Sweet Potato & Quinoa Chili,"


Ingredients



Units
USM 

Scale
1x2x3x 




1 tablespoon olive oil or 1/4 cup water (for water saute)
1 medium onion, diced
5 – 6 garlic cloves, minced
1 1/2 tablespoons chili powder
1 tablespoon cumin
1 teaspoon dried oregano
a few dashes of garlic powder
a few dashes of onion powder
himalayan salt, to taste
1 cup dried quinoa
1 can (15 oz) black beans, drained and rinsed
1 can (15oz) kidney beans, drained and rinsed
1 can (15 oz) fire roasted diced tomatoes (with juices) or 1 1/2 cups diced fresh tomatoes
1 can (6 oz) tomato paste
1 large sweet potato (about 1 lb.), diced (with or without skin)
5 – 6 cups water or vegetable broth (or combo)

Optional garnish for serving

diced avocado
cilantro
diced onion and/or jalapeno


","

Instructions


Stovetop: In large pot or dutch oven, heat oil over medium heat. Add onions, cook until soft and edges browned, about 5 – 6 minutes. Add garlic, cook 1 minute more. Add the chili powder, cumin, oregano, garlic & onion powder, quinoa, beans, diced tomatoes, tomato paste, sweet potato, and broth/water, stir until combined. Bring to a boil, reduce heat, cover slightly ajar and cook for 30 – 40 minutes, stirring occasionally. Chili is ready when sweet potatoes are tender. Add additional water if chili is too thick for your liking.
Slow-Cooker: Add all the onion, garlic, diced tomatoes, beans, sweet potatoes, quinoa, tomato paste, chili powder, cumin, oregano, onion & garlic powder and broth/water to the bottom of the crockpot insert, stir until combined. Turn on high and cook for 4 – 6 hours, or turn on low and cook for 6 – 8 hours.
Serve with optional garnishes. You may also like to top it with this easy Cilantro Lime Cashew ‘Sour Cream’. On the side, try this Vegan Cornbread or Jalapeno Cornbread Muffins are delicious!
Serves 4 generously.
Store leftovers in an airtight container in the refrigerator for up to 5 – 6 days. To keep longer, store in the freezer, in freezer safe containers, for up to 2 – 3 months.

",Chili
BUTTERNUT SQUASH & BLACK BEAN CHILI,"


Ingredients



Scale
1x2x3x 




1 tablespoon olive oil or 1/4 cup water, for water saute
1 medium onion (any color), diced
3 cloves garlic, minced (or 1 teaspoon garlic powder)
1 heaping Tablespoon chili powder
1 teaspoon cumin
1/2 teaspoon chipotle powder, or to taste
1/4 – 1/2 teaspoon cinnamon, start small
1 small (1 1/2 – 2lb.) butternut squash (about 4 – 5 cups), peeled, seeded & diced
2 red bell peppers, cored, seeded and diced
2 cans (15 oz) black beans, drained and rinsed, or 3 cups home cooked black beans
1 can (15 oz) fire roasted diced tomatoes + juice 
2 cups water or vegetable broth
2 – 3 teaspoons cocoa powder or 1 oz of dark chocolate, optional
himalayan salt, to taste

garnish options

avocado
cilantro
diced onions
lime wedges
vegan sour cream


","

Instructions


Stovetop: In a large 5 – 6 quart pot, heat oil/water over medium high heat, saute the onion for 5 – 7 minutes. Add the spices, saute for 1 minute more. Add the butternut squash, bell peppers, beans, tomatoes and vegetable broth and optional cocoa, bring to a boil, reduce heat, cover, and simmer for about 45 minutes. Will be done when the butternut squash is tender. Taste for flavor. Chili will thick upon cooling.
Slow Cooker: Place ingredients into your slow-cooker, finishing with the vegetable broth and give a good stir. Cover and cook on low for 6 – 8 hours, or on high for 3 – 4 hours. Taste, and season with additional salt and pepper or seasonings as needed.
Serve with garnish of choice. Pairs great with my favorite vegan cornbread or jalapeno cornbread muffins!
Serves 4 – 6
Store: Keep leftovers stored in the refrigerator, covered, for up to 5 days. For longer storage, store in the freezer in freezer safe containers for up to 2 – 3 months.

",Chili
RAW VEGGIE CHILI,"


Ingredients



Scale
1x2x3x 




3 cups tomatoes, diced (I used grape)
1 small red bell pepper (orange would be great too), diced
1 large rib of celery, diced
1/2 red onion, diced
1 small zucchini, diced
1 corn off the cob
1 – 2 cloves garlic, minced
chopped cilantro, chopped (use as much as you like)
2 teaspoons chili powder, to taste
1 teaspoon cumin
1 teaspoon oregano, fresh or dried
1/4 teaspoon sea salt, to taste

Nut Meat

1 cup walnuts
1 cup mushrooms
1 tablespoon cumin
2 teaspoons coriander
1 teaspoon tamari, coconut amino’s, bragg’s or 1/4 teaspoon sea salt, to taste

To Serve, optional

lime wedges
Vegan Sour Cream


","

Instructions


Vegetables: Prepare vegetables and combine all ingredients in large size bowl. Place 1/2 or so of the mix into a food processor and blend until pureed. Return puree to diced vegetables and toss well.
Nut Meat: Place all ingredients into food processor and pulse until crumbly. You don’t want to over blend or it will be a paste.
Serve: Place vegetable chili in bowls and top with nut meat adding any additional garnishes you like.
Serves 2 generously, or 4 smaller portions.
This would be great with sliced avocado, and a dollop of raw sour Cream or this flavorful Lime Cilantro Cashew ‘Sour Cream’, adding the perfect final touch!
Store: Keep leftovers in an airtight container in the refrigerator for 5 – 6 days. Nut meat will last up to 2 – 3 days, depending on the freshness of the mushrooms. Before eating let sit at room temp as it tastes best this way.
Enjoy the freshness!

",Chili
Mexican Bean Lasagne,"
Ingredients

1 tbsp oil
1 onion, chopped
1 green pepper, deseeded and chopped
395 g tinned mixed beans in spicy tomato sauce
400 g tinned chopped tomatoes
1/2 tsp dried chilli flakes, for extra heat if liked
25 g Flora Freedom
25 g plain flour
300 ml unsweetened soya milk
150 g dairy-free cheese, grated
salt and
pepper
8 flour tortillas, halved

","
Method
Preheat oven to 180 C, 160 C fan, Gas mark 4.

Heat oil in a pan and fry onion until soft but not coloured. Add pepper and fry for further 2-3 minutes.
Stir in the mixed beans and chopped tomatoes, adding chilli flakes if liked. Heat through and then reduce heat to low whilst making the dairy free cheese sauce.
Place Flora, flour and soya milk in a medium saucepan. Stirring continuously over a moderate heat, bring to the boil and cook for 2-3 minutes until thickened, smooth and glossy. Stir in 100g dairy free cheddar cheese until melted and season to taste with salt and pepper.
Spoon about a quarter of the tomato sauce over the base of a lasagne dish and arrange a single layer of flour tortillas over the top. Spoon a quarter of the dairy-free cheese sauce over the tortillas then repeat the layers finishing with a layer of cheese sauce. Cover the top with the remaining cheese.
Bake in preheated oven for 30-35 minutes until bubbling and golden.

Did you like this dish? Check out more budget vegan meal ideas.
",Lasagne
Butternut Squash and Sage Lasagne,"
Ingredients

For the butternut ‘pasta’:
1 butternut squash
1 tsp olive oil
1 tsp maple syrup
8 sage leaves (fresh)
Black pepper
For the tomato sauce:
1 tsp olive oil
1 tsp cumin
1 tsp smoked paprika
½ tsp cinnamon
6 cloves garlic
1 red chilli
1 red onion
250g chestnut mushrooms
4 medium tomatoes (you could also use a tin of chopped tomatoes; cooking time will be less)
2 tsp red pepper / tomato puree
125 ml red wine
1 tbsp vinegar (red wine or balsamic)
Black pepper
For the white sauce:
1 tsp olive oil
3 cloves garlic
½ tsp turmeric
½ tsp cumin
1 tbsp coconut flour
125 ml non-dairy milk
350g silken firm tofu
1 tbsp lemon juice
3 tbsp nutritional yeast
1 tsp wholegrain mustard
Himalayan pink salt, to taste
250g baby spinach
2 vegan sausages (such as Field Roast, Chipotle flavour) sliced into thin discs
Handful of grated vegan cheese

","
Method

Preheat the oven to 200°C / 400°F / Gas Mark 6.
To prepare the butternut, begin by peeling with a sharp knife. I find the easiest way to do this is to first slice off the ends, followed by cutting it in half across the middle. You can now slice the skin off from top to bottom on each half. Once peeled, cut each half lengthways through the middle and scoop the seeds and stringy bits from the bottom half. Now slice each segment thinly, so you have lots of half crescent ‘pasta’ sheets.
Lay the butternut slices on an oven tray and drizzle over the olive oil and maple syrup. Chop the sage leaves into 1cm wide ribbons and sprinkle these on with some black pepper. Cook in the oven for 25 minutes.
While the butternut slices are cooking, prepare the tomato sauce. Finely chop the red onion, garlic and chilli and chop the mushrooms into quarters. Heat the olive oil on a medium heat in a large pan and add the spices: cooking these first releases the flavours. Add the onion, garlic, chilli and mushrooms and cook for about 10 minutes (or when slightly browned and soft).
Chop the tomatoes into small chunks and add these to the pan with the pepper/tomato paste, red wine and vinegar. Simmer for 30-40 minutes, or until reduced. It should be thick, but still loose. Add the black pepper towards the end of cooking.
While the tomato sauce is reducing you can make the white sauce. Heat the olive oil on a medium heat in a saucepan and add the spices and garlic. Keep an eye on the garlic – you want it to brown lightly but not burn. Once the garlic has begun to colour stir in the flour – much like making a roux for a béchamel sauce. Stir for a minute and then add the milk to create a sauce, continuing to stir. Next, add the tofu and mash it into the sauce using the back of the spoon. You can now stir in the remaining ingredients and leave to simmer for 10 minutes. Again, it should be thick but loose.
Finally, wilt the spinach by putting it in a pan on a low heat. Give it a stir and drain the water- this only takes about 5 minutes.
Now for the assembly! Layer the ingredients in a deep dish or tin. I put mine together in the following order: tomato sauce, white sauce, spinach and sausage slices, butternut squash. Repeat until you have used all the ingredients and finish with a sprinkling of cheese.
Cook in the oven for 20 minutes, or until the top is nice and crisp. Let it stand for 5 minutes before serving, so that the layers hold their shape.
Wonderful! Serve with steamed greens and a Miso dressing, which work really well as a contrasting tang to all of the earthy flavours of the lasagne.

Love this recipe? There’s more where that came from! Sign up to Veganuary and we’ll send you our celebrity cookbook, meal plans, recipes, nutritional advice and more – all for free!
",Lasagne
Vegetable Lasagne,"
Ingredients

2 aubergines
2 courgettes
100g vegan aubergine bolognaise
Few spinach leaves
100g of untoasted-unsalted cashews
1 tbsp Nutritional Yeast
1 clove of garlic
Oil
Salt and pepper to taste
Thyme

","
Method

Slice the aubergine and courgettes into 1 cm thick slices. Coat the base of a baking tray with oil, add the vegetables to the dish coating in the oil, add salt, pepper, and thyme to taste.
Blend the cashew nuts, with 80 ml of water (you may need to adjust this to taste), a clove of garlic, and 1 spoon of nutritional yeast. It is ready when it is a smooth thick paste.
Once the vegetables are baked, take out of the oven. Now it is time to plate up! Layer it aubergine-bolognaise sauce- spinach leaves – cashew cheese – and then start again, until you have reached your desired height!

",Lasagne
Lentil Lasagne,"
Ingredients
1 large red onion
2 large cloves of garlic
200g (7oz) mushrooms
Splash of olive oil
200g (7oz) puy lentils (or brown lentils)
450ml (15fl oz) spring water
1 heaped teaspoon allspice
1 heaped teaspoon cinnamon
Pinch ground cardamom
500ml (17fl oz) passata (or tinned tomatoes)
1 heaped teaspoon coconut sugar
1 teaspoon sea salt
1 large handful fresh parsley
150g (5oz) rice pasta
1 small apple
For the Cashew ‘cheeze’ sauce:
100g (3½ oz) cashews
1 large lemon
Pinch black pepper
½ teaspoon sea salt
1 heaped teaspoon dried parsley
Extra water (to thin if needed)
","
Preparation
You will need:
An oven proof dish approx 21 x 15cm (6cm deep) or 8½ x 6 inches (2½in deep).

The cashew sauce is made by first soaking the cashews for up to an hour to make them soft enough to blend.


Method

Place the cashews into a mug or jug along with the juiced lemon, salt, pepper and parsley.
Allow the cashews to soak in the lemon juice for up to an hour and then blend with a blender to create a thick creamy sauce. If the sauce is too thick then add a dash of water to achieve your desired sauce-like consistency.
Roughly chop red onion and mushrooms.
Crush or finely chop garlic and saute in a medium sized pan with onion and mushrooms (with a splash of olive oil) for a couple of minutes to bring out their flavour.
Add the lentils and water to the pan and bring to the boil.
In the meantime add allspice, cinnamon, cardamon, sea salt, coconut sugar and passata to the pan, stirring to mix everything together.
Once the pan has come to the boil turn down to a low/medium heat, placing the lid on. Stir regularly over a period of about 45 minutes or until all water has absorbed and the mixture resembles a thick sauce. If you are busy and want to come back to this later, then simply cook for about 30 minutes, turn off and leave it to finish cooking with the lid on, in its own heat.
Whilst the lentil part is cooking in the pan, cook the pasta, drain it and put to the side.
Slice apple into thin slices and roughly chop parsley. When the lentil part has cooked, add the parsley to the pan and mix in.
Spoon about half of this lentil mixture into an oven proof dish and add a layer of your cooked rice pasta (this should be about ½ of your pasta). Make up another layer on top of the pasta with your apple slices.
Spoon the rest of your lentil mixture on top of your apple layer and then add another layer with the rest of the pasta.
Spoon/pour on your cashew sauce on top of the final layer of pasta. If the cashew sauce seems too thick, then add a little water to loosen it up.
Your layers might resemble something like this:
(base) lentil – pasta – apple – lentil – pasta – cashew sauce (topping)
But remember there is no right or wrong. If your creativity is inspired, then let it flow!
Place your whole dish in the oven at gas mark 6 (200˚C/400˚F) for approximately 40 minutes and then serve hot with veggies or salad.


",Lasagne
High-Protein Vegan Lasagne,"
Ingredients

Meatless Farm Co mince 400g
1 red / yellow pepper
100g mushrooms
1 can tinned tomatoes
1 tbsp tomato paste
Few handfuls of kale / spinach
Splash of tamari / liquid aminos 
Garlic powder, mixed herbs, paprika, cumin, black pepper
6 lasagne sheets
– For the cheese sauce
Soaked cashews (soak in boiling water for around 20-30 minutes)
½ head of boiled cauliflower
150ml of almond milk
3-4 tbsp of nutritional yeast
½ tsp of mustard
1 tbsp of white miso
½ tbsp. of tamari / liquid aminos
½ juice of a lemon and splash of apple cider vinegar
Garlic powder/ paprika, black pepper

","
Preparation

Saute the vegetables and add the seasoning after a few minutes.
Pour in the tinned tomatoes, tomato paste and simmer for a few minutes.
Add in the meatless mince and simmer for a further 10 minutes.
Blend all the cheese ingredients to make the white sauce.
Once all cooked, layer half of the mince mixture onto an oven proof dish and then layer ½ of the cheese sauce before adding 3 lasagne sheets on top.
Repeat the layer and top with the remaining white sauce.
Cover loosely with foil and bake for around 20 minutes at 180 degrees.
Serve with some green beans or whatever vegetables you like!

Created by @FEEDMEGLOW (www.instagram.com/feedmeglow)
Makes 3-4 portions
",Lasagne
Easy Creamy Buffalo Sage Pumpkin Lasagne,"
Ingredients

Serves 6:
For the Pumpkin Purée:
1.5 kg pumpkin or squash, unpeeled
1/2 cup fresh sage leaves
1/2 tsp sea salt
1/4 tsp ground black pepper
1 cup unsweetened non dairy milk (I prefer soya or almond)
For the Buffalo Tomato Sauce:
1 medium onion
2 cloves of garlic
1 tsp sea salt
1/2 tsp ground black pepper
2 cans of chopped tomatoes in juice
1/4 cup vegan buffalo sauce (like Frank’s Red Hot)
1 tsp dried thyme
For the Creamy Cashew White Sauce:
1/2 cup soaked raw cashews
6 tablespoons soya flour (or plain flour or gf flour)
1 tsp mustard powder
1/2 tsp ground nutmeg
1/4 cup nutritional yeast
1 clove of garlic
1 tsp sea salt
1/2 tsp ground black pepper
2 cups unsweetened non dairy milk (I prefer soya or almond)
For the lasagne:
4 tomatoes
1 x 500g box dried lasagne sheets
Sea salt and cracked black pepper

","
Preparation
Serves six

Method

Preheat the oven to 200’C.
Cut the unpeeled pumpkin or squash into wedges and de-seed, place on a baking tray and roast for 20-30 minutes or until the squash is soft and golden.
Leave to cool enough to handle and carefully peel away the skin and place the flesh into the jug of a blender.
Add the sage, salt, pepper and half the milk.
Blend, adding the remaining milk as necessary to get a smooth purée. Pour into a bowl, cover and set aside. Do not clean out the blender jug.
Add all of the tomato sauce ingredients into the jug and blend until well combined and almost smooth. Transfer to a saucepan and wash out the blender jug.
Blend together the white sauce ingredients until perfectly smooth, transfer to a saucepan.
Bring both the tomato and white sauce to a boil, whisking the white sauce all the time until thickened enough to coat the back of a spoon.
Assemble the lasagne, take a large baking dish approx 15 x 10 inches and place about a quarter of the tomato sauce on the base, topped with a quarter of the lasagne sheets.
Top with more tomato sauce, some pumpkin purée then more lasagne sheets, then white sauce and repeat until all is used up, ending with white sauce.
Place slices of tomato over the top, sprinkle with salt and pepper then transfer to the oven and bake for 30-45 minutes until the pasta is al dente and the top is golden and bubbling.
Leave to cool for about ten minutes before slicing and serving.

",Lasagne
